Date,Close,Buy,Sell,Open,High,Low
1959-01-23,  56.00,False,False,  56.00,  56.00,  56.00
1959-01-30,  55.42,False,False,  55.42,  55.42,  55.42
1959-02-06,  54.37,False,False,  54.37,  54.37,  54.37
1959-02-13,  54.42,False,False,  54.42,  54.42,  54.42
1959-02-20,  55.52,False,False,  55.52,  55.52,  55.52
1959-02-27,  55.41,False,False,  55.41,  55.41,  55.41
1959-03-06,  56.21,False,False,  56.21,  56.21,  56.21
1959-03-13,  56.67,False,False,  56.67,  56.67,  56.67
1959-03-20,  56.39,False,False,  56.39,  56.39,  56.39
1959-03-26,  55.76,False,False,  55.76,  55.76,  55.76
1959-04-03,  56.44,False,False,  56.44,  56.44,  56.44
1959-04-10,  56.22,False,False,  56.22,  56.22,  56.22
1959-04-17,  57.92,False,False,  57.92,  57.92,  57.92
1959-04-24,  57.96,False,False,  57.96,  57.96,  57.96
1959-05-01,  57.65,False,False,  57.65,  57.65,  57.65
1959-05-08,  57.32,False,False,  57.32,  57.32,  57.32
1959-05-15,  58.16,False,False,  58.16,  58.16,  58.16
1959-05-22,  58.33,False,False,  58.33,  58.33,  58.33
1959-05-29,  58.68,False,False,  58.68,  58.68,  58.68
1959-06-05,  57.51,False,False,  57.51,  57.51,  57.51
1959-06-12,  57.29,False,False,  57.29,  57.29,  57.29
1959-06-19,  57.13,False,False,  57.13,  57.13,  57.13
1959-06-26,  57.98,False,False,  57.98,  57.98,  57.98
1959-07-02,  59.28,False,False,  59.28,  59.28,  59.28
1959-07-10,  59.91,False,False,  59.91,  59.91,  59.91
1959-07-17,  59.16,False,False,  59.16,  59.16,  59.16
1959-07-24,  59.65,False,False,  59.65,  59.65,  59.65
1959-07-31,  60.51,False,False,  60.51,  60.51,  60.51
1959-08-07,  59.87,False,False,  59.87,  59.87,  59.87
1959-08-14,  59.29,False,False,  59.29,  59.29,  59.29
1959-08-21,  59.08,False,False,  59.08,  59.08,  59.08
1959-08-28,  59.49,False,False,  59.49,  59.49,  59.49
1959-09-04,  58.54,False,False,  58.54,  58.54,  58.54
1959-09-11,  57.41,False,False,  57.41,  57.41,  57.41
1959-09-18,  56.09,False,False,  56.09,  56.09,  56.09
1959-09-25,  56.73,False,False,  56.73,  56.73,  56.73
1959-10-02,  57.20,False,False,  57.20,  57.20,  57.20
1959-10-09,  57.00,False,False,  57.00,  57.00,  57.00
1959-10-16,  57.33,False,False,  57.33,  57.33,  57.33
1959-10-23,  56.56,False,False,  56.56,  56.56,  56.56
1959-10-30,  57.52,False,False,  57.52,  57.52,  57.52
1959-11-06,  57.60,False,False,  57.60,  57.60,  57.60
1959-11-13,  56.85,False,False,  56.85,  56.85,  56.85
1959-11-20,  56.97,False,False,  56.97,  56.97,  56.97
1959-11-27,  57.70,False,False,  57.70,  57.70,  57.70
1959-12-04,  58.85,False,False,  58.85,  58.85,  58.85
1959-12-11,  58.88,False,False,  58.88,  58.88,  58.88
1959-12-18,  59.14,False,False,  59.14,  59.14,  59.14
1959-12-24,  59.00,False,False,  59.00,  59.00,  59.00
1959-12-31,  59.89,False,False,  59.89,  59.89,  59.89
1960-01-08,  59.50,False,False,  59.50,  59.50,  59.50
1960-01-15,  58.38,False,False,  58.38,  58.38,  58.38
1960-01-22,  57.38,False,False,  57.38,  57.38,  57.38
1960-01-29,  55.61,False,False,  55.61,  55.61,  55.61
1960-02-05,  55.98,False,False,  55.98,  55.98,  55.98
1960-02-12,  55.46,False,False,  55.46,  55.46,  55.46
1960-02-19,  56.24,False,False,  56.24,  56.24,  56.24
1960-02-26,  56.16,False,False,  56.16,  56.16,  56.16
1960-03-04,  54.57,False,False,  54.57,  54.57,  54.57
1960-03-11,  54.24,False,False,  54.24,  54.24,  54.24
1960-03-18,  55.01,False,False,  55.01,  55.01,  55.01
1960-03-25,  55.98,False,False,  55.98,  55.98,  55.98
1960-04-01,  55.43,False,False,  55.43,  55.43,  55.43
1960-04-08,  56.39,False,False,  56.39,  56.39,  56.39
1960-04-14,  56.43,False,False,  56.43,  56.43,  56.43
1960-04-22,  55.42,False,False,  55.42,  55.42,  55.42
1960-04-29,  54.37,False,False,  54.37,  54.37,  54.37
1960-05-06,  54.75,False,False,  54.75,  54.75,  54.75
1960-05-13,  55.30,False,False,  55.30,  55.30,  55.30
1960-05-20,  55.83,False,False,  55.83,  55.83,  55.83
1960-05-27,  55.74,False,False,  55.74,  55.74,  55.74
1960-06-03,  56.23,False,False,  56.23,  56.23,  56.23
1960-06-10,  57.97,False,False,  57.97,  57.97,  57.97
1960-06-17,  57.44,False,False,  57.44,  57.44,  57.44
1960-06-24,  57.68,False,False,  57.68,  57.68,  57.68
1960-07-01,  57.06,False,False,  57.06,  57.06,  57.06
1960-07-08,  57.38,False,False,  57.38,  57.38,  57.38
1960-07-15,  56.05,False,False,  56.05,  56.05,  56.05
1960-07-22,  54.72,False,False,  54.72,  54.72,  54.72
1960-07-29,  55.51,False,False,  55.51,  55.51,  55.51
1960-08-05,  55.44,False,False,  55.44,  55.44,  55.44
1960-08-12,  56.66,False,False,  56.66,  56.66,  56.66
1960-08-19,  57.01,False,False,  57.01,  57.01,  57.01
1960-08-26,  57.60,False,False,  57.60,  57.60,  57.60
1960-09-02,  57.00,False,False,  57.00,  57.00,  57.00
1960-09-09,  56.11,False,False,  56.11,  56.11,  56.11
1960-09-16,  55.11,False,False,  55.11,  55.11,  55.11
1960-09-23,  53.90,False,False,  53.90,  53.90,  53.90
1960-09-30,  53.52,False,False,  53.52,  53.52,  53.52
1960-10-07,  54.03,False,False,  54.03,  54.03,  54.03
1960-10-14,  54.88,False,False,  54.88,  54.88,  54.88
1960-10-21,  53.32,False,False,  53.32,  53.32,  53.32
1960-10-28,  53.41,False,False,  53.41,  53.41,  53.41
1960-11-04,  54.90,False,False,  54.90,  54.90,  54.90
1960-11-11,  55.87,False,False,  55.87,  55.87,  55.87
1960-11-18,  55.82,False,False,  55.82,  55.82,  55.82
1960-11-25,  56.13,False,False,  56.13,  56.13,  56.13
1960-12-02,  55.39,False,False,  55.39,  55.39,  55.39
1960-12-09,  56.65,False,False,  56.65,  56.65,  56.65
1960-12-16,  57.20,False,False,  57.20,  57.20,  57.20
1960-12-23,  57.44,False,False,  57.44,  57.44,  57.44
1960-12-30,  58.11,False,False,  58.11,  58.11,  58.11
1961-01-06,  58.48,False,False,  58.48,  58.48,  58.48
1961-01-13,  59.60,False,False,  59.60,  59.60,  59.60
1961-01-20,  59.96,False,False,  59.96,  59.96,  59.96
1961-01-27,  61.24,False,False,  61.24,  61.24,  61.24
1961-02-03,  62.22,False,False,  62.22,  62.22,  62.22
1961-02-10,  61.50,False,False,  61.50,  61.50,  61.50
1961-02-17,  62.10,False,False,  62.10,  62.10,  62.10
1961-02-24,  62.84,False,False,  62.84,  62.84,  62.84
1961-03-03,  63.59,False,False,  63.59,  63.59,  63.59
1961-03-10,  63.48,False,False,  63.48,  63.48,  63.48
1961-03-17,  64.60,False,False,  64.60,  64.60,  64.60
1961-03-24,  64.42,False,False,  64.42,  64.42,  64.42
1961-03-30,  65.06,False,False,  65.06,  65.06,  65.06
1961-04-07,  65.96,False,False,  65.96,  65.96,  65.96
1961-04-14,  66.37,False,False,  66.37,  66.37,  66.37
1961-04-21,  65.77,False,False,  65.77,  65.77,  65.77
1961-04-28,  65.31,False,False,  65.31,  65.31,  65.31
1961-05-05,  66.52,False,False,  66.52,  66.52,  66.52
1961-05-12,  66.45,False,False,  66.45,  66.45,  66.45
1961-05-19,  67.27,False,False,  67.27,  67.27,  67.27
1961-05-26,  66.43,False,False,  66.43,  66.43,  66.43
1961-06-02,  66.73,False,False,  66.73,  66.73,  66.73
1961-06-09,  66.66,False,False,  66.66,  66.66,  66.66
1961-06-16,  65.18,False,False,  65.18,  65.18,  65.18
1961-06-23,  65.16,False,False,  65.16,  65.16,  65.16
1961-06-30,  64.64,False,False,  64.64,  64.64,  64.64
1961-07-07,  65.77,False,False,  65.77,  65.77,  65.77
1961-07-14,  65.28,False,False,  65.28,  65.28,  65.28
